,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,2.1968750953674316,0.17499999701976776,2.193359375,0.4000000059604645
1,2.1953125,0.1875,2.193359375,0.4000000059604645
2,2.1917967796325684,0.17499999701976776,2.19140625,0.4000000059604645
3,2.1875,0.15000000596046448,2.189453125,0.4000000059604645
4,2.1839842796325684,0.15000000596046448,2.18359375,0.4000000059604645
5,2.1796875,0.15000000596046448,2.181640625,0.4000000059604645
6,2.174999952316284,0.15000000596046448,2.177734375,0.4000000059604645
7,2.171875,0.15000000596046448,2.17578125,0.4000000059604645
8,2.1683592796325684,0.15000000596046448,2.173828125,0.4000000059604645
9,2.165234327316284,0.15000000596046448,2.171875,0.4000000059604645
10,2.163281202316284,0.15000000596046448,2.169921875,0.4000000059604645
